48134 | 5001 | SYN | 27 | 20221122055558
47046 | 42656 | ACK/SYN | 27 | 20221122055558
41233 | 5001 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
47046 | 41233 | ACK | 27 | 20221122055558
41233 | 47046 | DATA | 1000 | 20221122055558
