48412 | 35070 | DATA | 1000 | 8000 | 20221121195826591237
35070 | 48412 | ACK | 31 | 20000 | 20221121195826591347
35070 | 48412 | ACK | 31 | 20000 | 20221121195826591433
35070 | 48412 | ACK | 31 | 20000 | 20221121195826591867
48412 | 35070 | DATA | 1000 | 8000 | 20221121195826591818
35070 | 48412 | ACK | 31 | 20000 | 20221121195826592310
48412 | 35070 | DATA | 1000 | 8000 | 20221121195826592239
48412 | 35070 | DATA | 1000 | 8000 | 20221121195826592659
35070 | 48412 | ACK | 31 | 20000 | 20221121195826592854
48412 | 35070 | DATA | 1000 | 8000 | 20221121195826592828
35070 | 48412 | ACK | 31 | 20000 | 20221121195826592953
35070 | 48412 | ACK | 31 | 20000 | 20221121195826593040
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826595376
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826595752
35070 | 48412 | ACK | 31 | 20000 | 20221121195826595856
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826596025
35070 | 48412 | ACK | 31 | 20000 | 20221121195826596424
35070 | 48412 | ACK | 31 | 20000 | 20221121195826596472
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826596799
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826596910
35070 | 48412 | ACK | 31 | 20000 | 20221121195826597117
35070 | 48412 | ACK | 31 | 20000 | 20221121195826597373
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826597431
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826597856
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826598152
35070 | 48412 | ACK | 31 | 20000 | 20221121195826598235
35070 | 48412 | ACK | 31 | 20000 | 20221121195826598082
48412 | 35070 | DATA | 1000 | 9000 | 20221121195826598394
35070 | 48412 | ACK | 31 | 20000 | 20221121195826598595
35070 | 48412 | ACK | 31 | 20000 | 20221121195826598692
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826599265
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826599509
35070 | 48412 | ACK | 31 | 20000 | 20221121195826599659
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826599837
35070 | 48412 | ACK | 31 | 20000 | 20221121195826599961
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826600143
35070 | 48412 | ACK | 31 | 20000 | 20221121195826600247
35070 | 48412 | ACK | 31 | 20000 | 20221121195826600561
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826600662
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826601171
35070 | 48412 | ACK | 31 | 20000 | 20221121195826601195
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826601557
35070 | 48412 | ACK | 31 | 20000 | 20221121195826601536
35070 | 48412 | ACK | 31 | 20000 | 20221121195826601866
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826601981
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826602264
35070 | 48412 | ACK | 31 | 20000 | 20221121195826602335
35070 | 48412 | ACK | 31 | 20000 | 20221121195826602533
48412 | 35070 | DATA | 1000 | 10000 | 20221121195826602609
